,Unnamed: 0,Crop_OpenAg,County,HR_NAME,ACRES,Neighboring Counties,Neighboring HR,usda crop,price_2020,yield_2020
27,27,Alfalfa,Mono,South Lahontan,6018.09863054,"['Inyo', 'Tuolumne', 'Alpine', 'Fresno', 'Madera']","['Colorado River', 'North Lahontan', 'San Joaquin River', 'South Coast', 'Tulare Lake']",Hay Alfalfa,203.93,
28,28,Alfalfa,Monterey,Central Coast,537.37979147,"['Kings', 'San Benito', 'Fresno', 'Santa Cruz', 'San Luis Obispo']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']",Hay Alfalfa,108.84,3.22
29,29,Alfalfa,Placer,Sacramento River,438.01810194,"['Sacramento', 'El Dorado', 'Yuba', 'Nevada', 'Sutter']","['North Coast', 'North Lahontan', 'San Joaquin River']",,,
30,30,Alfalfa,Plumas,Sacramento River,4542.76066419,"['Sierra', 'Lassen', 'Shasta', 'Yuba', 'Tehama', 'Butte']","['North Coast', 'North Lahontan', 'San Joaquin River']",Hay Alfalfa,224.85,3.5
31,31,Alfalfa,Riverside,Colorado River,45004.20141795,"['San Diego', 'San Bernardino', 'Orange', 'Imperial']","['South Coast', 'South Lahontan']",Hay Alfalfa,207.82,8.0
32,32,Alfalfa,Riverside,South Coast,3366.88973015,"['San Diego', 'San Bernardino', 'Orange', 'Imperial']","['South Coast', 'South Lahontan']",Hay Alfalfa,207.82,8.0
33,33,Alfalfa,Sacramento,Sacramento River,8278.83816177,"['Placer', 'Solano', 'Contra Costa', 'El Dorado', 'Yolo', 'San Joaquin', 'Sutter', 'Amador']","['North Coast', 'North Lahontan', 'San Joaquin River']",Hay Alfalfa,185.02,6.12
34,34,Alfalfa,Sacramento,San Joaquin River,3866.25889669,"['Placer', 'Solano', 'Contra Costa', 'El Dorado', 'Yolo', 'San Joaquin', 'Sutter', 'Amador']","['North Coast', 'North Lahontan', 'San Joaquin River']",Hay Alfalfa,185.02,6.12
35,35,Alfalfa,San Benito,Central Coast,8.12339201,"['Monterey', 'Fresno', 'Santa Clara', 'Merced', 'Santa Cruz']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']",,,
36,36,Alfalfa,San Bernardino,Colorado River,2814.24181155,"['Los Angeles', 'Inyo', 'Riverside', 'Kern', 'Orange']","['Colorado River', 'North Lahontan', 'San Joaquin River', 'South Coast', 'Tulare Lake']",Hay Alfalfa,201.9,6.98
37,37,Alfalfa,San Bernardino,South Coast,207.52139507,"['Los Angeles', 'Inyo', 'Riverside', 'Kern', 'Orange']","['Colorado River', 'North Lahontan', 'San Joaquin River', 'South Coast', 'Tulare Lake']",Hay Alfalfa,201.9,6.98
38,38,Alfalfa,San Bernardino,South Lahontan,4577.68047861,"['Los Angeles', 'Inyo', 'Riverside', 'Kern', 'Orange']","['Colorado River', 'North Lahontan', 'San Joaquin River', 'South Coast', 'Tulare Lake']",Hay Alfalfa,201.9,6.98
39,39,Alfalfa,San Diego,South Coast,103.86428402,"['Riverside', 'Orange', 'Imperial']","['Central Coast', 'Colorado River', 'South Lahontan', 'Tulare Lake']",,,
40,40,Alfalfa,San Joaquin,San Joaquin River,42353.97434502,"['Sacramento', 'Calaveras', 'Contra Costa', 'Alameda', 'Stanislaus', 'Amador']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']",Hay Alfalfa,185.08,7.12
